2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a2785492aa383086ed217dff7feed669febb205118bb7b15d724e6bf27e670ca not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task d9df99fdae999142aa1d2146a6f6d0e8ae45e811ffd6c78deae71a6fa7fc62cc not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task f03d7c9baee4dca5a7ffe136e647367cfec023024ccaca6dfe3e16b4d04c6c0d not found: not found
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "containerd" started successfully
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2024-08-27 17:16:22 UTC | SECURITY | INFO | (pkg/compliance/agent.go:358 in runXCCDFBenchmarks) | no xccdf benchmark to run
2024-08-27 17:16:22 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:22 UTC | SECURITY | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:22 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:22 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:22 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:23 UTC | SECURITY | ERROR | (pkg/security/agent/agent.go:110 in StartEventListener) | error while connecting to the runtime security module: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial unix /var/run/sysprobe/runtime-security.sock: connect: no such file or directory", please check that the runtime security module is enabled in the system-probe.yaml config file
